# recovery_spliner perf log started 20260817_111407
# [PERF] fields: loops=timer ticks in the window, hz=achieved loop rate, loop_ms avg/max=wall time inside loop(), splines=do_spline calls, blended=loops that also splined the OT-blended path, samples=mean spline samples bounds-checked, danger=splines aborted on the bounds check, mrk_hz=achieved RViz marker rate (see marker_rate_hz; the wpnt topics stay at the full loop rate), cpu=this process's own CPU over the window (100% = one core), viz=spline-sample marker publishing
1786932985.639 [PERF] loops=28 hz=27.8 loop_ms avg=25.21 max=261.01 splines=28 blended=0 samples=115.0 danger=0 mrk_hz=4.0 cpu=39.7% viz=off
1786932986.663 [PERF] loops=34 hz=33.2 loop_ms avg=19.48 max=69.01 splines=34 blended=0 samples=115.0 danger=0 mrk_hz=4.9 cpu=44.9% viz=off
1786932987.664 [PERF] loops=35 hz=35.0 loop_ms avg=16.60 max=51.95 splines=35 blended=0 samples=115.0 danger=0 mrk_hz=5.0 cpu=46.0% viz=off
1786932988.688 [PERF] loops=37 hz=36.1 loop_ms avg=17.14 max=55.91 splines=37 blended=0 samples=115.0 danger=0 mrk_hz=3.9 cpu=44.9% viz=off
1786932989.709 [PERF] loops=30 hz=29.4 loop_ms avg=26.65 max=95.68 splines=30 blended=0 samples=115.0 danger=0 mrk_hz=4.9 cpu=37.2% viz=off
1786932990.710 [PERF] loops=33 hz=33.0 loop_ms avg=18.47 max=77.78 splines=33 blended=0 samples=115.0 danger=0 mrk_hz=5.0 cpu=43.9% viz=off
1786932991.752 [PERF] loops=32 hz=30.8 loop_ms avg=20.32 max=94.55 splines=32 blended=0 samples=115.0 danger=0 mrk_hz=4.8 cpu=40.4% viz=off
1786932992.800 [PERF] loops=31 hz=29.5 loop_ms avg=24.47 max=77.92 splines=31 blended=0 samples=115.0 danger=0 mrk_hz=4.8 cpu=34.3% viz=off
1786932993.802 [PERF] loops=34 hz=34.0 loop_ms avg=18.66 max=73.29 splines=34 blended=0 samples=115.0 danger=0 mrk_hz=4.0 cpu=39.9% viz=off
1786932994.804 [PERF] loops=32 hz=31.9 loop_ms avg=19.61 max=66.82 splines=32 blended=0 samples=115.0 danger=0 mrk_hz=5.0 cpu=43.9% viz=off
